track_id,frame,x,y
0,0,220,11
0,1,220,11
0,2,220,11
0,3,220,11
0,4,220,11
0,5,220,11
0,6,220,11
0,7,220,11
0,8,220,11
0,9,220,11
0,10,220,11
0,11,220,11
0,12,220,11
0,13,220,11
0,14,220,11
0,15,220,11
0,16,220,11
0,17,220,11
0,18,220,11
0,19,220,11
0,20,220,11
0,21,220,11
0,22,220,11
0,23,220,11
0,24,220,11
0,25,220,11
0,26,220,11
0,27,220,11
0,28,220,11
0,29,220,11
0,30,220,11
0,31,220,11
0,32,220,11
0,33,220,11
0,34,220,11
0,35,220,11
0,36,220,11
0,37,220,11
0,38,220,11
0,39,220,11
0,40,220,11
0,41,220,11
0,42,220,11
0,43,220,11
0,44,220,11
0,45,220,11
0,46,220,11
0,47,220,11
0,48,220,11
0,49,220,11
0,50,220,11
0,51,220,11
0,52,220,11
0,53,220,11
0,54,220,11
0,55,220,11
0,56,220,11
0,57,220,11
0,58,220,11
0,59,220,11
0,60,220,11
0,61,220,11
0,62,220,11
0,63,220,11
0,64,220,11
0,65,220,11
0,66,220,11
0,67,220,11
0,68,220,11
0,69,220,11
0,70,220,11
0,71,220,11
0,72,220,11
0,73,220,11
0,74,220,11
0,75,220,11
0,76,220,11
0,77,220,11
0,78,220,11
0,79,220,11
0,80,220,11
0,81,220,11
0,82,220,11
0,83,220,11
0,84,220,11
0,85,220,11
0,86,220,11
0,87,220,11
0,88,220,11
0,89,220,11
0,90,220,11
0,91,220,11
0,92,220,11
0,93,220,11
0,94,220,11
0,95,220,11
0,96,220,11
0,97,220,11
0,98,220,11
0,99,220,11
0,100,220,11
0,101,220,11
0,102,220,11
0,103,220,11
0,104,220,11
0,105,220,11
0,106,220,11
0,107,220,11
0,108,220,11
0,109,220,11
0,110,220,11
0,111,220,11
0,112,220,11
0,113,220,11
0,114,220,11
0,115,220,11
0,116,220,11
0,117,220,11
0,118,220,11
0,119,220,11
0,120,220,11
0,121,220,11
0,122,220,11
0,123,220,11
0,124,220,11
0,125,220,11
0,126,220,11
0,127,220,11
0,128,220,11
0,129,220,11
0,130,220,11
0,131,220,11
0,132,220,11
0,133,220,11
0,134,220,11
0,135,220,11
0,136,220,11
0,137,220,11
0,138,220,11
0,139,220,11
0,140,220,11
0,141,220,11
0,142,220,11
0,143,220,11
0,144,220,11
0,145,220,11
0,146,220,11
0,147,220,11
0,148,220,11
0,149,220,11
0,150,220,11
0,151,220,11
0,152,220,11
0,153,220,11
0,154,220,11
0,155,220,11
0,156,220,11
0,157,220,11
0,158,220,11
0,159,220,11
0,160,220,11
0,161,220,11
0,162,220,11
0,163,220,11
0,164,220,11
0,165,220,11
0,166,220,11
0,167,220,11
0,168,220,11
0,169,220,11
0,170,220,11
0,171,220,11
0,172,220,11
0,173,220,11
0,174,220,11
0,175,220,11
0,176,220,11
0,177,220,11
0,178,220,11
0,179,220,11
0,180,220,11
0,181,220,11
0,182,220,11
0,183,220,11
0,184,220,11
0,185,220,11
0,186,220,11
0,187,220,11
0,188,220,11
0,189,220,11
0,190,220,11
0,191,220,11
0,192,220,11
0,193,220,11
0,194,220,11
0,195,220,11
0,196,220,11
0,197,220,11
0,198,220,11
0,199,220,11
0,200,220,11
0,201,220,11
0,202,220,11
0,203,220,11
0,204,220,11
0,205,220,11
0,206,220,11
0,207,220,11
0,208,220,11
0,209,220,11
0,210,220,11
0,211,220,11
0,212,220,11
0,213,220,11
0,214,220,11
0,215,220,11
0,216,220,11
0,217,220,11
0,218,220,11
0,219,220,11
0,220,220,11
0,221,220,11
0,222,220,11
0,223,220,11
0,224,220,11
0,225,220,11
0,226,220,11
0,227,220,11
0,228,220,11
0,229,220,11
0,230,220,11
0,231,220,11
0,232,220,11
0,233,220,11
0,234,220,11
0,235,220,11
